time_utc,activity,target_id,station_id,duration_sec,power_W,battery_SOC,data_MB
2026-02-18T14:04:52.799343+00:00,DOWNLINK,-,gs_wallops,610.0,8.0,0.932,-152.5
2026-02-18T14:26:21.940153+00:00,OBSERVE,target_saopaulo,-,230.0,5.0,0.984,50.0
2026-02-18T15:17:38.508606+00:00,OBSERVE,target_tokyo,-,440.0,5.0,0.969,50.0
2026-02-18T15:46:42.799343+00:00,DOWNLINK,-,gs_wallops,270.0,8.0,0.97,-67.5
2026-02-18T16:03:31.940153+00:00,OBSERVE,target_saopaulo,-,480.0,5.0,0.967,50.0
2026-02-18T16:54:50.232128+00:00,OBSERVE,target_beijing,-,380.0,5.0,0.974,50.0
2026-02-18T17:01:11.232128+00:00,OBSERVE,target_tokyo,-,207.3,5.0,0.986,50.0
2026-02-18T17:40:14.485010+00:00,DOWNLINK,-,gs_santiago,600.0,8.0,0.919,-150.0
2026-02-18T18:33:20.232128+00:00,OBSERVE,target_beijing,-,480.0,5.0,0.967,50.0
2026-02-18T19:20:54.485010+00:00,DOWNLINK,-,gs_santiago,510.0,8.0,0.943,-127.5
2026-02-18T20:14:50.232128+00:00,OBSERVE,target_beijing,-,340.0,5.0,0.976,50.0
2026-02-18T21:05:54.485010+00:00,DOWNLINK,-,gs_santiago,40.0,8.0,0.996,-10.0
2026-02-18T21:38:39.373938+00:00,OBSERVE,target_cairo,-,280.0,5.0,0.981,50.0
2026-02-18T21:56:30.232128+00:00,OBSERVE,target_beijing,-,260.0,5.0,0.982,50.0
2026-02-18T22:01:28.508606+00:00,OBSERVE,target_tokyo,-,310.0,5.0,0.978,50.0
2026-02-18T23:16:09.373938+00:00,OBSERVE,target_cairo,-,480.0,5.0,0.945,50.0
2026-02-18T23:24:10.373938+00:00,OBSERVE,target_moscow,-,250.7,5.0,0.983,50.0
2026-02-18T23:35:40.232128+00:00,OBSERVE,target_beijing,-,430.0,5.0,0.953,50.0
2026-02-18T23:42:51.232128+00:00,OBSERVE,target_tokyo,-,327.3,5.0,0.977,50.0
2026-02-19T00:24:54.485010+00:00,DOWNLINK,-,gs_santiago,500.0,8.0,0.922,-125.0
2026-02-19T00:33:15.485010+00:00,OBSERVE,target_saopaulo,-,356.5,5.0,0.975,50.0
2026-02-19T00:58:46.793042+00:00,OBSERVE,target_london,-,40.0,5.0,0.972,50.0
2026-02-19T01:00:51.094414+00:00,OBSERVE,target_moscow,-,470.0,5.0,0.967,50.0
2026-02-19T02:03:54.485010+00:00,DOWNLINK,-,gs_santiago,610.0,8.0,0.9,-152.5
2026-02-19T02:14:05.485010+00:00,OBSERVE,target_saopaulo,-,176.5,5.0,0.988,50.0
2026-02-19T02:33:56.793042+00:00,OBSERVE,target_london,-,470.0,5.0,0.967,50.0
2026-02-19T02:41:47.793042+00:00,OBSERVE,target_moscow,-,383.3,5.0,0.973,50.0
2026-02-19T03:46:14.485010+00:00,DOWNLINK,-,gs_santiago,200.0,8.0,0.951,-50.0
